Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day.1_% Px Chng ,$ Change_Opening,$ Change.1_Close,Star_Ratings,Performed
2005-07-28,Golf Galaxy ,GGXY,Piper Jaffray/William Blair,14.0,17.05,18.61,0.32928571428571424,3.0500000000000007,4.6099999999999985,2,
2005-07-28,Superior Well Services ,SWSI,KeyBanc Capital Markets,13.0,16.25,18.4,0.4153846153846153,3.25,5.399999999999999,2,
2005-07-29,Healthcare Acquisition,HAQ.U,Maxim Group/I-Bankers,8.0,8.0,8.0,0.0,0.0,0.0,1,
2005-08-02,Baby Universe ,BUN,Gunn Allen/Wedbush Morgan,9.5,9.85,10.7,0.12631578947368413,0.34999999999999964,1.1999999999999993,1,
2005-08-02,Unica ,UNCA,Deutsche Bank Securities,10.0,10.21,11.71,0.1710000000000001,0.21000000000000085,1.7100000000000009,1,
2005-08-02,The Republic Group ,RUTX,JP Morgan/Banc of America,14.0,14.0,14.15,0.01071428571428574,0.0,0.15000000000000036,1,
2005-08-02,MWI Veterinary Supply ,MWIV,Banc of America,17.0,20.14,21.25,0.25,3.140000000000001,4.25,3,
2005-08-03,Eschelon Telecom ,ESCH,Lehman Brothers/Jefferies,14.0,13.78,13.15,-0.060714285714285686,-0.22000000000000064,-0.8499999999999996,1,
2005-08-03,WorldSpace ,WRSP,UBS Investment Bank,21.0,24.1,22.36,0.06476190476190473,3.1000000000000014,1.3599999999999994,3,
2005-08-03,Advanced Analogic Technologies ,AATI,Morgan Stanley/Merrill Lynch,10.0,12.25,11.87,0.18699999999999992,2.25,1.8699999999999992,2,
2005-08-04,Chardan North China Acquisition ,CNCAU,EarlyBridCapital,6.0,5.95,6.15,0.02500000000000006,-0.049999999999999815,0.15000000000000036,1,
2005-08-04,Chardan Southj China Acquisition,CSCAU,EarlyBridCapital,6.0,5.98,6.15,0.02500000000000006,-0.01999999999999957,0.15000000000000036,1,
2005-08-04,Advanced Life Sciences ,ADLS,"C.E. Unterberg, Towbin/ThinkEquity Partners",5.0,5.03,6.0,0.2,0.03000000000000025,1.0,1,
2005-08-04,AtriCure ,ATRC,UBS Investment Bank/Piper Jaffray,12.0,12.1,14.08,0.17333333333333334,0.09999999999999963,2.08,2,
