,uw_price,uw_rank,socre
181, Piper Sandle,Piper-Sandler,96
182, Stifel Nicolaus,Stifel,100
183, SunTrust Robinson Humphrey,SunTrust Robinson Humphrey,100
184,BoA Merrill Lynch,Bank of America-Merrill Lynch (BOA-Merrill),100
185, Goldman Sachs (Asia) L.L.C.,Goldman Sachs Asia,100
186, Oppenheimer & Co.,Oppenheimer & Co Inc,100
187," Goldman, Sachs",Goldman Sachs Asia,100
188,Aegis Capital ,Aegis Capital,100
189,SG Cowen Securities,Cowen,100
190, EarlyBirdCapital,Earlybirdcapital Inc,100
191,A.G. Edwards & Sons,AG Edwards & Sons Inc,86
192, R. F. Lafferty,R. F. Lafferty,100
193,Jesup & Lamont Securities,Jesup & Lamont Securities,100
194,Deutsche Banc Alex Brown,Deutsche Banc Alex Brown,100
195,CE Unterberg Towbin,CE Unterberg Towbin,100
196, National Securities,National Securities (Taiwan),100
197, Wunderlich Securities,"Wunderlich Securities, Inc.",100
198,"Sandler O’Neill + Partners, L.P.",Sandler O'Neill Partners,100
199,Bear Stearns,Bear Stearns International,100
200,JPMorgan,JP Morgan (JPM),76
201,Sanders Morris Harris,Sanders Morris Harris Inc,100
202, KeyBanc Capital Market,KeyBanc Capital Markets ,98
203,UBS,UBS AG,100
204, O’Neill + Partners,Sandler O'Neill Partners,100
205, Jefferies ,Jefferies & Co Inc,100
206, Jefferies​ ​,Jefferies & Co Inc,100
207, Morgan Stanley Barclays,Morgan Stanley,100
208,Broadband Capital Markets,AB Capital Markets,91
209,Northland Capital,Northland Capital Markets,100
210,CLSA CIBC World Markets,CIBC World Markets,100
211,"Friedman, Billingd Ramsey",Friedman Billings Ramsey & Co,90
212,Barclays Capital,Barclays Capital,100
213,SSB,HSBC,57
214, Deutsche Bank,Deutsche Bank Capital (NY),100
215, Credit Suisse​,Credit Suisse First Boston,100
216,Maxium CapitalEarlybird Capital,KKR Capital,78
217, Simmons & Company International (Energy Specialists of Piper Jaffray),Simmons & Co International,93
218,RothCapitalPartners,SPP Capital Partners Inc,70
219,Sun Trust Robinson Humphrey,SunTrust Robinson Humphrey,98
220, WestPark Capital,KKR Capital,78
221,W.R. Hambrecht+Co.,W.R. Hambrecht & Company,90
222,BofA Merrill Lync,Merrill Lynch & Co Inc,76
223,Piper Sandler,Piper-Sandler,100
224, Cowen,Cowen,100
225, Chardan Capital Markets,"Chardan Capital Markets, LLC",100
226, Ping An of China Securities (Hong Kong),Ping An,100
227,J.P. Morghan,J.T. Moran,80
228,AG Edwards,AG Edwards & Sons Inc,100
229,Goldman Sachs,Goldman Sachs Asia,100
230,JP Turner,JP Turner & Co,100
231,Credit Suisse. Citigroup,Citigroup,100
232,Oppenheimer ,Oppenheimer & Co Inc,100
233,Keefe Bruyette,Keefe Bruyette & Woods Inc,100
234, Barclays Capital,Barclays Capital,100
235,Wachovia,Wachovia Bank,100
236, Bair,D. H. Blair,62
237,Sterne Agee & Leach,Sterne Agee & Leach Inc,100
238,Chardan Capital Markets,"Chardan Capital Markets, LLC",100
239,"Goldman, Sachs",Goldman Sachs Asia,100
240, Credit Agricole CIB,Credit Agricole Securities (CNCANY),88
241,Schneider Securities,"Schneider Securities, Inc.",100
242,Ladenburg Thalmann,Ladenburg Thalmann & Co,100
243,Joseph Gunnar,"Joseph Gunnar & Co., LLC",100
244,Boustead Securities,BA Securities,87
245, Needham & Company,Needham & Co Inc,76
246," Keefe, Bruyette & Woods, Inc. (A Stifel Company)",Keefe Bruyette & Woods Inc,100
247, Goldman Sachs (Asia) L.L.C,Goldman Sachs Asia,100
248, Northland Capital Markets,Northland Capital Markets,100
249,GoldmanSachs,Goldman Sachs & Co,86
250,BMN Nesbitt Burns,BMO Nesbitt Burns Inc,89
251,Morgan Stanley Dean Witter,Morgan Stanley,100
252,First Albany,First Albany,100
253, BNP PARIBAS,BNP Paribas SA (BNP-CA),100
254, J. P. Morgan Securities,Wedbush Morgan Securities,89
255,Aegis Capital Corp,Aegis Capital,100
256,McDonald Investments,McDonald Investments,100
257, Wells Fargo Securities,Wells Fargo,100
258, Credit Suisse,Credit Suisse First Boston,100
259,Stifel Nicolaus Weisel,Stifel,100
260, Maxim Group,Maxim Group LLC,100
261, Feltl and Company,Reinheimer and Company,79
262,Cowen ,Cowen,100
263,HCFB,HSBC,50
264,SANDLER O’NEILL + PARTNERS,Sandler O'Neill Partners,100
265,Canter Fitzgerald,"Cantor, Fitzgerald & Co., Inc.",78
266,"C.E. Unterberg, Towbin",CE Unterberg Towbin,97
267, Barclay Capital,Barclays Capital,97
268,CRT Capital Group,Wit Capital Group Inc,87
269,Keefe Bruyette Woods,Keefe Bruyette & Woods Inc,100
270,Roth Capital Partners,Roth Capital Partners Inc,100
271,CICC,China International Capital Corp (CICC),100
272,Ryan Beck,Ryan Beck & Co,100
273, Wedbush PacGrow Life Sciences,Wedbush Securities,60
274,Broadband Capital Management LLC,Broadband Capital Management,100
275, Tiger Brokers,Tiger Brokers,100
276,DB Alex Brown,Deutsche Banc Alex Brown,87
277, China Renaissance,China Renaissance (CRS),100
278,"Donaldson, Lufkin & Jenrette",Donaldson Lufkin & Jenrette,100
279," BofAMerrill Lynch, Pierce","Merrill Lynch, Pierce, Fenner",82
280, Oppenheimer,Oppenheimer & Co Inc,100
281, Itaú BBA,Banco Itau-BBA,67
282, SVB Leerink,Leerink-SVB,100
283,"Keefe, Bruyette",Keefe Bruyette & Woods Inc,100
284, BofA Securities,BA Securities,93
285,Newbridge Securities,Newbridge Securities,100
286,"Ladenburg, Thalmann",Ladenburg Thalmann & Co,100
287, UBS Investment Bank,UBS,100
288,Goldman Sachs In't,Goldman Sachs & Co,90
289,Morgan Joseph,Morgan-Joseph,100
290, BMO Capital Market,BMO Capital Markets,97
291, Clarkson Capital Markets,AB Capital Markets,91
292, RBC Capital Markets,RBC Capital Markets,100
293,Legg Mason,Legg Mason Wood Walker,100
294,"Goldman, Sachs & Co. ",Goldman Sachs & Co,100
295, Scotia Howard Weil,Howard Weil Labouisse Freid,76
296, Citigroup,Citigroup Global Markets Inc,100
297, Wells Fargo Securities ,Wells Fargo,100
298, Taglich Brothers,"Taglich Brothers, Inc.",100
299,Broadband Capital Management,Broadband Capital Management,100
300,D.A. Davidson & Co.,DA Davidson & Co Inc,85
301, Evercore ISI ,Evercore,100
302, William Blair,William Blair & Co,100
303,Aegis Capital Corp.,Aegis Capital,100
304,Prudential Securities,Prudential-Bache Securities,100
305,Pali Capital,"Pali Capital, Inc.",100
306, Ladenburg Thalmann,Ladenburg Thalmann & Co,100
307, Stifel,Stifel,100
308,Bear Streans,Bear Stearns & Co Inc,71
309, ViewTrade Securities,BA Securities,87
310,Dahlman Rose,Dahlman-Rose,100
311,Evercore ISI,Evercore,100
312,Cohen ,"Adams, Cohen",100
313,MSDW,Mesirow,55
314,"Friedman, Billings",Friedman Billings Ramsey Group,100
315, Leerink Partners,Leerink-SVB,78
316,Stanford Group,Stanford Group,100
317, SOCIETE ,Societe Generale Securities,100
318,Legg Mason Wood Walker,Legg Mason Wood Walker,100
319,Wedbush Morgan,Wedbush Morgan Securities,100
320,Citigroup Capital Markets,Citigroup,100
321,Maxin Group,Maxim Group LLC,77
322,WR Hambrecht + Co.,W.R. Hambrecht & Company,78
323,Maxim Group ,Maxim Group LLC,100
324,W.R. Hambrecht + Co.,W.R. Hambrecht & Company,90
325,LG Investment & Securities,LG Investment & Securities,100
326,​J.P. Morgan,JP Morgan (JPM),87
327,Citigroup,Citigroup Global Markets Inc,100
328,UBS Investment Bank,UBS,100
329,Deuteche Bank,Deutsche Bank AG,83
330, J. P. Morgan,JP Morgan (JPM),87
331,Merrill Lymch,Merrill Lynch & Co Inc,73
332,KKR,KKR Capital,100
333, Haitong International,Haitong International,100
334,Lynch,Merrill Lynch White Weld Cptl,100
335,Punk Ziegel,Punk Ziegel & Knoell,100
336,I-Baners,ING Barings,63
337,Canaccord Genuity,Canaccord Genuity,100
338,Creidt Suisse,Credit Suisse,92
339,National Securities,National Securities (Taiwan),100
340,I-Bankers Securities ,I-Bankers Securities Inc,100
341,Wunderlich Securities,"Wunderlich Securities, Inc.",100
342, I-Bankers,I-Bankers Securities Inc,100
343, GoldmanSachs,Goldman Sachs & Co,86
344, BofAMerrill Lynch,Merrill Lynch & Co Inc,76
345,First Van Kasper,First Security Van Kasper & Co,100
346,Brenner - Morgan Joseph,Morgan-Joseph,100
347,Jefferies,Jefferies & Co Inc,100
348,JP Morgan,JP Morgan (JPM),100
349,EarlyBird Capital,KKR Capital,78
350,CIBC Capital Markets,AIB Capital Markets,92
351, Evercore,Evercore,100
352,J.P.  Morgan,JP Morgan (JPM),87
353," Keefe, Bruyette & Woods (A Stifel Company​)",Stifel,100
354,Cit,Cial,57
355,Stifel Niclous Weisel,Stifel,100
356,AG Edwrads,AG Edwards & Sons Inc,62
357, Huatai Securities (USA),BA Securities,87
358,BBVA,Evans,44
359, Prime Number Capital,Prime Number Capital,100
360, China Merchants Securities (HK),China Merchants Securities,100
361,The Benchmark Company,The Benchmark Company,100
362, Goldma Sachs,Goldman Sachs & Co,86
363, The Benchmark Company,The Benchmark Company,100
364,Sandler O'Neill,Sandler O'Neill Partners,100
365,EarlyBirdCapital ,Earlybirdcapital Inc,100
366,Lehman Brothers,Shearson Lehman Brothers,100
367," Keefe, Bruyette & Woods ",Keefe Bruyette & Woods Inc,100
368, Cuttone,Roney & Co,53
369, Scotiabank,Commerzbank AG,50
370,​Credit Suisse,Credit Suisse First Boston,100
371,"Network 1 Financial Securities,",Network 1 Financial Securities,100
372,Merrill Lnych,Merrill Lynch & Co Inc,73
373, William Blair ,William Blair & Co,100
374, Cantor Fitzgerald,"Cantor, Fitzgerald & Co., Inc.",100
375,J.P. Morgan Securities Merrill Lynch,BA Securities,87
376,Chardan,"Chardan Capital Markets, LLC",100
377,Roth Capital,Roth Capital Partners Inc,100
378, MUFG,Emanuel,36
379," Goldman, Sachs ",Goldman Sachs Asia,100
380,Citi,Citigroup,62
381,ML,Mikal,57
382, BofA Merrill Lynch​,Merrill Lynch White Weld Cptl,84
383, FBR Capital Markets,AB Capital Markets,92
384,Noble International Investments,Noble International Investment,98
385,Morgan Stanley Dean Witter & China Intl.,Morgan Stanley,100
386, Barclay,"Barclay Investments, Inc.",100
387,Pacific Growth Equities ,Pacific Growth Equities Inc,100
388,PrinceRidge,C&CO/PrinceRidge,100
389,BofA Merril Lynch,Merrill Lynch & Co Inc,76
390,Keeye Bruyette & Woods,Keefe Bruyette & Woods Inc,86
391, Roth Capital Partners​,Roth Capital Partners Inc,100
392,"Keefe, Bruyette & Woods (A Stifel Company) Sandler O'Neill + Partners",Stifel,100
393,Utendhal Capital Partners,Utendahl Capital Partners,96
394,Pactual Capital,Pactual Capital Corporation,100
395,Sandler O'Neill + Partners,Sandler O'Neill Partners,100
396,Oppenheimer,Oppenheimer & Co Inc,100
397,Scott & Stringfellow,Scott & Stringfellow Financial,100
398, UBS Investment Ban,UBS,100
399,Piper Jafray,Piper Jaffray Inc,83
400, CICC ,China International Capital Corp (CICC),100
401, Sandler O’Neill + Partners,Sandler O'Neill Partners,100
402,CS First Boston ,CS First Boston,100
403, Wachovia Securities,Wachovia Securities Inc,100
404,Santander,Santander Investment Bank,100
405,"Keefe, Bruyette & Woods (A Stifel Company)",Stifel,100
406, Roth Capital Partners ,Roth Capital Partners Inc,100
407,SunTrust Robinson,SunTrust Robinson Humphrey,100
408, Markets Lake Street,State Street Capital Markets,85
409,Simmons & Company,Simmons & Co,82
410, Credit Suisse ,Credit Suisse First Boston,100
411,SG Cowen,Cowen,100
412,Wunderlich,"Wunderlich Securities, Inc.",100
413,Wells Fargo Securities,Wells Fargo,100
414,Needham & Company,Needham & Co Inc,76
415,Rodman Renshaw,Rodman & Renshaw Inc,100
416,Jefferies & Company,Ferris & Company,84
417,A.G. Edwards,Spencer Edwards,78
418, BMO Capital Markets​,BMO Capital Markets,100
419,Janney Montgomery Scott,Janney Montgomery Scott Inc,100
420,​ Citigroup,Citigroup Global Markets Inc,100
421,J.P.Morgan,JP Morgan (JPM),87
422, Craig-Hallum Capital Group,"Craig-Hallum, Inc.",86
423,Northland Capital Markets,Northland Capital Markets,100
424,Ladenberg Thalman,Ladenburg Thalmann & Co,84
425,AMTD Global Markets,AMTD Global Markets,100
426,W.R. Hambrecht,W.R. Hambrecht & Company,100
427, Simmons & Company,Simmons & Co,82
428,Imperial Capital,Imperial-Cap,86
429,"MDB Capital Group, LLC",MDB-Capital,100
430,RBC Capital Markets,RBC Capital Markets,100
431,CIBC World Markets,CIBC World Markets,100
432,I-Bankers,I-Bankers Securities Inc,100
433,W.R. Hambrecht+Co,W.R. Hambrecht & Company,90
434,GunnAllen Financial,GunnAllen Financial Inc,100
435,"Ferris, Baker Watts","Ferris, Baker Watts",100
436,Stifel Nicolas,Stifel,100
437,Univest Securities,Univest Securities,100
438,Cantor,"Cantor, Fitzgerald & Co., Inc.",100
439,Maxim Group,Maxim Group LLC,100
440, J.P. Morgan,JP Morgan (JPM),87
441, Canaccord Genuity,Canaccord Genuity,100
442," Sandler O’Neill + Partners, L.P.",Sandler O'Neill Partners,100
443,William Blair,William Blair & Co,100
444, BB&T Capital Markets,BB&T Capital Markets,100
445,Raymond James,Raymond James & Associates Inc,100
446, SMBC Nikko,Nikko Securities (Europe),67
447,ING Barings,ING,100
448,Burnham Securities,Burnham Securities Inc,100
449, Roth Capital Partners,Roth Capital Partners Inc,100
450,CSFirst Boston,CS First Boston,97
451,"Keefe, Bruyette & Woods (A Stifel Company )",Stifel,100
452,Somerset Financial,Somerset Financial Group Inc,100
453, Summer Street Research Partners,Summer Street,100
454, UBS Securitie,UBS,100
455,CIBC Worldmarkets,CIBC World Markets,69
456,UBS Investment Trust,UBS,100
457,Laidlaw & Company (UK) Ltd.,Gunn & Company,74
458,CF First Boston,CS First Boston,93
459,Barclay Capital,Barclays Capital,97
460, Robert W. Baird,Robert W Baird & Co Inc,100
461, Cowen ,Cowen,100
462, Dahlman Rose,Dahlman-Rose,100
463,Ferris Baker Watts,"Ferris, Baker Watts",100
464,"Goldman Sachs,",Goldman Sachs Asia,100
465,The Shemano Group,Shemano Group,100
466,EarlyBirdCapital,Earlybirdcapital Inc,100
467,"Baird, BMO Capital Markets, Janney Montgomery Scott",BMO Capital Markets,100
468,Roberston Stephens,Robertson Stephens & Co,87
469, Deutsche Bank Securities,Deutsche Bank Securities Corp,100
470, B. Riley & Co.,B-Riley,100
471, Sandler ONeill & Partners,Sandler O'Neill Partners,94
472,"Global Hunter Securities, LLC",Global-Hunter,100
473, Merrill Lynch,Merrill Lynch White Weld Cptl,100
474, Guggenheim Securities ,Guggenheim Securities,100
475,Joseph Gunnar & Co.,"Joseph Gunnar & Co., LLC",100
476," Sandler O'Neill + Partners, L.P.",Sandler O'Neill Partners,100
477,Allen & Co.,"Elliot Allen & Co., Inc.",100
478,Alexander Capital,KKR Capital,78
479, UBS Securities,UBS,100
480, Deutsche Bank  Securities,Deutsche Bank Securities Corp,100
481, Stife,Stifel,91
482, Evercore ISI,Evercore,100
483, VTB Capital,MDB-Capital,82
484," Keefe, Bruyette & Woods (A Stifel Company)",Stifel,100
485, UBS Investment Bank (In alphabetical order),UBS,100
486, BTIG,BTIG,100
487,Pali,"Pali Capital, Inc.",100
488,Sun Trust,Artoc Bank and Trust,71
489, Guggenheim Securities,Guggenheim Securities,100
490, Dowling & Partners Securities,BA Securities,87
491,William Blair & Company,William Blair & Co,90
492, D.A. Davidson,Kashner Davidson Securities,80
493,FBR Capital Markets,AB Capital Markets,92
494,Piper Jafftay,Piper Jaffray Inc,80
495,Merril Lynch,Merrill Lynch & Co Inc,75
496,Johnson Rice,Johnson Rice & Co,100
497,FBR,B-Riley-FBR,100
498,Craig-Hallum Capital,"Craig-Hallum, Inc.",86
499, Morgan Stanley​,Morgan Stanley,100
500, Dominick & Dominick,Dominick,100
501,JMP Securitites,Kemper Securities,81
502," RBC Capital Markets, LLC",RBC Capital Markets,100
503, CLSA,McLarty,55
504, Duetsche Bank,Deutsche Bank AG,83
505,EarlyBirdCaptial,Earlybirdcapital Inc,83
506, Jefferies,Jefferies & Co Inc,100
507, Loop Capital Markets,AB Capital Markets,91
508, J.P. Morgan ,JP Morgan (JPM),87
509,"Sandler O’Neill & Partners, L.P",Sandler O'Neill Partners,100
510,Key Banc Capital Markets,AB Capital Markets,91
511,J.P. Morgan Securities,Wedbush Morgan Securities,89
512,Deutsche Bank Securities,Deutsche Bank Securities Corp,100
513,J.P Morgan,JP Morgan (JPM),87
514, Barclays ,Barclays Capital,100
515,BofA Securities,BA Securities,93
516,Needham,Needham & Co Inc,100
517,Piper Jaffray,US Bancorp Piper Jaffray,100
518,Johnson Rice & Company,Johnson Rice & Co,89
519,Lazard,Lazard Freres & Co LLC,100
520,FTN Midwest Securities,"First Midwest Securities, Inc",90
521, Deutsche Bank SecuritieS,Deutsche Bank Securities Corp,100
522,Dawson James Securities,"Dawson James Securities, Inc.",88
523,A.G. Edwrads & Sons,AG Edwards & Sons Inc,80
524,Paulson Investment,Paulson Investment Co,100
525, Piper Sandler,Piper-Sandler,100
526,BTIG,BTIG,100
527,RBC Dominion,RBC Dominion Securities,100
528, Morgan Stanley,Morgan Stanley,100
529,Friedman Billings,Friedman Billings Ramsey Group,100
530,ThinkEquity (a division of Fordham Financial Management) ,BC Financial,86
531,SVB Leerink,Leerink-SVB,100
532, CMBI,Cial,50
533, UBS,UBS AG,100
534, BofA Merrill Lynch ,Merrill Lynch White Weld Cptl,84
535,Merrill Lynch ,Merrill Lynch White Weld Cptl,100
536,Advest,Advest Inc,100
537, Barclays Capital ,Barclays Capital,100
538,Jaffray Stifel,Stifel,100
539,Axiom Capital Management,Cardinal Capital Management,86
540," Keefe, Bruyette & Woods (A Stifel Company )",Stifel,100
541,CSFB,HSBC,50
542, Network 1 Securities,Network 1 Financial Securities,100
543,Morgan Stanly,Morgan Stanley,96
544,W.R. Hambrecht + Co,W.R. Hambrecht & Company,90
545, A.G.P.,A. G. Becker Paribas Inc.,75
546, Network 1 Financial Securities,Network 1 Financial Securities,100
547,B. Riley FBR,B-Riley-FBR,100
548," Tudor, Pickering, Holt",Tudor-Pickering,100
549, Cowen​,Cowen,100
550,Merrill Lynch,Merrill Lynch White Weld Cptl,100
551, Boustead Securities,BA Securities,87
552,ThinkEquity,Thinkequity Partners LLC,100
553,Credit Suisse,Credit Suisse First Boston,100
554,Morgan Stanley.Deutsche Bank,Morgan Stanley,100
555, Bradesco BBI,Baring Brothers & Co Ltd,53
556,Salomon Smith Barney,Salomon Smith Barney Interntl,100
557, Brookline Capital Markets,AB Capital Markets,91
558,WallachBeth Capital,KKR Capital,78
559,UBS Warburg,UBS,100
560,"Goldman Sachs, Salomon Smith Barney",Salomon Smith Barney,100
561,Equity Securities,Equity Securities Trading,100
562,AMTD,AMTD Global Markets,100
