Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st_Day_Return,change_open,change_close,Star_Ratings,Performed,year,CUSIP,Offer Date,IPO Name,Ticker,VC Dummy,Rollup dummy,CRSP PERM,Dual dummy,Internet dummy,Post-Issue shares,Founding,uw_max_rank,top_tier_uw,month,avg_net_ipo,num_ipo,net_num_ipo,perc_price_above,ASVI,mean_SVI,week_-9,week_-8,week_-7,week_-6,week_-5,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
2013-06-13,Coty,COTY,BofA Merrill Lynch/ J.P. Morgan/ Morgan Stanley/ Barclays/ Deutsche Bank Securities/ Wells Fargo Securities,17.5,17.3,17.36,-0.008000000000000033,-0.1999999999999993,-0.14000000000000054,3,Missed,2013.0,222070203,2013-06-12,Coty Inc,COTY,0,0,13983,1,0,382830520,1904.0,9.001,1,6.0,19.3,25.0,18,0.33,0.19319120023157146,63.125,61.0,59.0,58.0,58.0,61.0,61.0,64.0,70.0,74.0,100.0,76.0,73.0,77.0,78.0,80.0,73.0,66.0,71.0,74.0
2013-06-20,bluebird bio,BLUE,J.P. Morgan/ BofA Merrill Lynch,17.0,25.72,26.391,0.5524117647058823,8.719999999999999,9.390999999999998,3,,2013.0,09609G100,2013-06-18,bluebird bio Inc,BLUE,1,0,13947,0,0,.,1992.0,9.001,1,6.0,19.3,25.0,18,0.33,0.39589547027891614,19.375,18.0,21.0,12.0,12.0,26.0,32.0,9.0,17.0,26.0,100.0,29.0,27.0,18.0,42.0,9.0,39.0,9.0,18.0,35.0
2013-06-21,PTC Therapeutics,PTCT,J.P. Morgan/ Credit Suisse,15.0,15.85,16.49,0.09933333333333323,0.8499999999999996,1.4899999999999984,3,,2013.0,69366J200,2013-06-19,PTC Therapeutics Inc,PTCT,1,0,13967,0,0,.,1998.0,9.001,1,6.0,19.3,25.0,18,0.33,-0.2231433846476678,13.875,17.0,8.0,9.0,13.0,17.0,4.0,20.0,28.0,12.0,100.0,46.0,0.0,34.0,4.0,17.0,13.0,29.0,21.0,17.0
2013-06-21,Gogo,GOGO,Morgan Stanley/ J .P. Morgan/ UBS Securities,17.0,16.0,16.0,-0.05882352941176471,-1.0,-1.0,3,Missed,2013.0,38046C109,2013-06-20,Gogo Inc,GOGO,1,0,13956,0,1,.,2008.0,9.001,1,6.0,19.3,25.0,18,0.33,-0.010929069337732857,92.0,96.0,92.0,92.0,94.0,93.0,92.0,91.0,91.0,91.0,96.0,95.0,96.0,97.0,97.0,96.0,98.0,95.0,94.0,91.0
2013-06-26,Esperion Therapeutics,ESPR,Credit Suisse/ Citigroup,15.0,17.0,14.5,-0.03333333333333333,2.0,-0.5,2,,2013.0,29664W105,2013-06-25,Esperion Therapeutics Inc,ESPR,1,0,13954,0,0,.,1998.0,9.001,1,6.0,19.3,25.0,18,0.33,1.1124053311201578,36.75,25.0,100.0,0.0,49.0,0.0,24.0,24.0,24.0,73.0,74.0,0.0,75.0,50.0,74.0,99.0,49.0,75.0,49.0,0.0
2013-06-26,Luxoft Holding,LXFT,UBS Investment Bank/ Credit Suisse/ J.P. Morgan,17.0,18.55,20.3,0.1941176470588236,1.5500000000000007,3.3000000000000007,2,,2013.0,G57279104,2013-06-25,Luxoft Holding Inc,LXFT,0,0,14010,1,0,32639115,2000.0,9.001,1,6.0,19.3,25.0,18,0.33,15.404745967162466,18.125,0.0,0.0,0.0,0.0,48.0,0.0,0.0,48.0,49.0,98.0,0.0,100.0,0.0,99.0,0.0,0.0,50.0,0.0,0.0
2013-06-26,NanoString Technologies,NSTG,J.P. Morgan/ Morgan Stanley,10.0,9.9,8.06,-0.19399999999999995,-0.09999999999999963,-1.9399999999999995,1,,2013.0,63009R109,2013-06-25,NanoString Technologies Inc,NSTG,1,0,13962,0,0,.,2003.0,9.001,1,6.0,19.3,25.0,18,0.33,-0.7308871096826204,26.5,27.0,41.0,27.0,0.0,40.0,39.0,26.0,26.0,13.0,67.0,27.0,27.0,41.0,0.0,0.0,27.0,41.0,0.0,0.0
2013-06-27,Aratana Therapeutics,PETX,Stifel/ Lazard Capital Markets,6.0,7.0,8.26,0.37666666666666665,1.0,2.26,1,,2013.0,03874P101,2013-06-26,Aratana Therapeutics Inc,PETX,1,0,13966,0,0,.,2010.0,8.001,1,6.0,19.3,25.0,18,0.33,1.1284646368448987,26.5,0.0,23.0,0.0,0.0,0.0,33.0,22.0,100.0,34.0,45.0,23.0,12.0,23.0,0.0,23.0,34.0,0.0,23.0,0.0
2013-06-27,CDW Corp,CDW,"J.P. Morgan/ Barclays/ Goldman, Sachs",17.0,17.675,18.37,0.08058823529411771,0.6750000000000007,1.370000000000001,1,,2013.0,12514G108,2013-06-26,CDW Corp,CDW,0,0,13949,0,1,.,1984.0,9.001,1,6.0,19.3,25.0,18,0.33,0.6632939322054003,14.625,17.0,17.0,17.0,17.0,0.0,0.0,0.0,33.0,33.0,100.0,51.0,17.0,0.0,34.0,34.0,67.0,0.0,17.0,49.0
2013-06-27,HD Supply Holdings,HDS,BofA Merrill Lynch/ Barclays/ J.P. Morgan/ Credit Suisse,18.02,18.55,18.66,0.03551609322974476,0.5300000000000011,0.6400000000000006,1,,2013.0,40416M105,2013-06-26,HD Supply Holdings Inc,HDS,0,0,13957,0,0,.,1933.0,9.001,1,6.0,19.3,25.0,18,0.33,14.880221639784232,10.75,0.0,15.0,0.0,0.0,0.0,0.0,0.0,42.0,29.0,100.0,58.0,15.0,15.0,0.0,0.0,0.0,0.0,14.0,0.0
2013-06-27,MedWorth Acquisition,MWRX,EarlyBirdCapital,8.0,8.01,8.01,0.0012499999999999734,0.009999999999999787,0.009999999999999787,1,,2013.0,58508R105,2013-06-26,Medworth Acquisition Corp,MWRX,0,0,13958,0,0,.,2013.0,4.001,0,6.0,19.3,25.0,18,0.33,,,,,,,,,,,,,,,,,,,,,
2013-06-27,Silvercrest Asset Management Group (SAMG),SAMG,Sandler ONeill & Partners/ Raymond James,11.0,11.4,11.83,0.07545454545454545,0.4000000000000004,0.8300000000000001,1,,2013.0,828359109,2013-06-26,Silvercrest Asset Management,SAMG,0,0,13969,1,0,11968603,2002.0,7.501,0,6.0,19.3,25.0,18,0.33,,,,,,,,,,,,,,,,,,,,,
2013-06-27,Tremor Video,TRMR,Credit Suisse/ Jefferies,10.0,11.0,8.5,-0.15,1.0,-1.5,2,,2013.0,89484Q100,2013-06-26,Tremor Video Inc,TRMR,1,0,14006,0,1,.,2005.0,8.001,1,6.0,19.3,25.0,18,0.33,-0.11247793276815177,26.375,15.0,20.0,24.0,21.0,38.0,29.0,23.0,35.0,21.0,100.0,46.0,28.0,39.0,30.0,21.0,47.0,35.0,34.0,19.0
2013-06-28,Noodles & Company,NDLS,Morgan Stanley/ UBS Securities,18.0,32.0,36.75,1.0416666666666667,14.0,18.75,3,,2013.0,655408105,2013-06-28,Noodles & Co,NDLS,0,0,13959,1,0,29399697,1995.0,0.0,0,6.0,19.3,25.0,18,0.33,0.2411620178558556,58.375,61.0,56.0,60.0,52.0,49.0,47.0,54.0,79.0,70.0,100.0,95.0,61.0,61.0,63.0,75.0,50.0,56.0,82.0,64.0
2013-06-28,Prosensa Holding B.V.,RNA,J.P. Morgan/ Citigroup/ Leerink Swann,13.0,20.0,19.25,0.4807692307692308,7.0,6.25,2,,2013.0,N71546100,2013-06-27,Prosensa Holding BV,RNA,0,0,13968,0,0,.,1997.0,9.001,1,6.0,19.3,25.0,18,0.33,,,,,,,,,,,,,,,,,,,,,
2013-07-12,Fifth Street Senior Floating Rate (  FSFR),FSFR,  Morgan Stanley/ Deutsche Bank Securities/ UBS Investment Bank/ Barclays/ RBC Capital Markets/ Oppenheimer,15.0,14.12,14.15,-0.056666666666666636,-0.8800000000000008,-0.8499999999999996,1,,2013.0,31679F101,2013-07-11,Fifth Street Senior Floating,FSFR,0,0,14050,0,0,.,2013.0,8.501,1,7.0,19.3,23.0,15,0.33,,,,,,,,,,,,,,,,,,,,,
